sale_price_int,Address,lat,lng,data_time_1,year,rel_to_mean_price,rel_to_median_price
19000,"336 ROTHER, Buffalo",42.903154,-78.83201,1990/03/01 00:00,1990,0.26877445465366545,0.34545454545454546
22000,"228 TITUS, Buffalo",42.9022957,-78.8229896,1990/03/01 00:00,1990,0.31121252644108627,0.4
14000,"823 GENESEE, Buffalo",42.8989936,-78.84655599999998,1990/03/01 00:00,1990,0.198044335007964,0.2545454545454545
54000,"34 HARRIETT, Buffalo",42.9236174,-78.803619,1990/03/01 00:00,1990,0.7638852921735755,0.9818181818181818
253000,"708 LAFAYETTE AVE, Buffalo",42.9207289,-78.872013,1990/03/01 00:00,1990,3.578944054072492,4.6
71500,"183 KAY, Buffalo",42.939719399999994,-78.80178240000002,1990/03/01 00:00,1990,1.0114407109335304,1.3
25000,"356 CARLTON, Buffalo",42.8986114,-78.8551628,1990/03/01 00:00,1990,0.35365059822850714,0.45454545454545453
38000,"313 LANDON, Buffalo",42.909793,-78.84219300000002,1990/03/01 00:00,1990,0.5375489093073309,0.6909090909090909
94570,"372 BRYANT, Buffalo",42.908609999999996,-78.880911,1990/03/01 00:00,1990,1.3377894829787969,1.7194545454545453
15000,"610 HOPKINS, Buffalo",42.854163,-78.832555,1990/03/01 00:00,1990,0.21219035893710428,0.2727272727272727
77000,"71 NORTHRUP PL, Buffalo",42.94964210000001,-78.82395190000003,1990/03/01 00:00,1990,1.089243842543802,1.4
42000,"92 CONNELLY, Buffalo",42.9298651,-78.81496969999998,1990/03/01 00:00,1990,0.594133005023892,0.7636363636363637
77000,"298 WEIMAR, Buffalo",42.872868200000006,-78.80793369999998,1990/03/01 00:00,1990,1.089243842543802,1.4
53000,"26 PROGRESSIVE, Buffalo",42.948288700000006,-78.90197009999999,1990/03/01 00:00,1990,0.7497392682444352,0.9636363636363636
15600,"111 STANTON, Buffalo",42.8865166,-78.8457184,1990/03/01 00:00,1990,0.22067797329458846,0.28363636363636363
88000,"392 CUMBERLAND, Buffalo",42.85086920000001,-78.8121819,1990/03/01 00:00,1990,1.244850105764345,1.6
52000,"2409 SENECA, Buffalo",42.8483933,-78.80199540000002,1990/03/01 00:00,1990,0.7355932443152948,0.9454545454545454
